time,text
2020-01-12 00:00:00,"If YouTube actually cared about making a good kids version, They would do so well. But this crap shit you give our kids should be illegal.  Please @Google @YouTube put a little effort into policing what is on your site.  Until then I have to keep it away from my kids. $goog"
2020-01-13 00:00:00,Evercore Raises PT On Alphabet To $1600 From $1350 $GOOGL $GOOG
2020-01-13 00:00:00,"When I joined Google, we had just raised money at a $100M valuation.  So proud to see it hit the storied $1T market cap today! #10000x https://t.co/Z0C9ZgSwUS"
2020-01-13 00:00:00,"$GOOG out of the $1T club per GFinance, but earlier today 3 US tech companies were worth &gt;$1T"
2020-01-13 00:00:00,"Whoah, Alphabet (Google) is the latest company to hit a market cap of $1,000,000,000,000*!

Who will be the first to 2 trillion? Alphabet? Apple? Amazon? Microsoft? Aramco?

Someone else?

*I just like typing this out. It's a helluva number after all.

$GOOG $AAPL $AMZN $MSFT https://t.co/4iTpWWD1o3"
2020-01-13 00:00:00,"Decenas de máximos históricos hoy, entre ellos:

▪️S&amp;P 500
▪️Nasdaq

▪️Apple $AAPL
▪️Alibaba $BABA
▪️Brookfield AM $BAM
▪️Salesforce $CRM
▪️Alphabet $GOOG $GOOGL
▪️Facebook $FB
▪️Coca-Cola $KO
▪️Lockheed Martin $LMT
▪️Mastercard $MA
▪️Shopify $SHOP
▪️Tesla $TSLA
▪️Visa $V"
2020-01-14 00:00:00,"Stock returns since $TSLA IPO (June 29, 2010)

$TSLA 3064%

$NVDA 2260%
$NFLX 2006%
$AMZN 1621%
$AAPL 755%
$GOOG 524%"
2020-01-14 00:00:00,"01/14/20 - View today's #MarketOutlook from 
@Market_Scholars

https://t.co/1Dm4BvKvSl

Discussed: $SPY $IWM $DIA $QQQ $EEM $EFA $SPX $USO $TNX $AAPL $MSFT $URTH $AMZN $GOOG $EWG $ARGT $DEO $UL $EWU $CCL"
2020-01-14 00:00:00,"Digital hälsa är stekhett. Kinnevik-backade $LVGO växer ~160% och handlas till 20x sales. $GOOG köpte nyligen Fitbit (ett data play?). $TDOC har brutit ny mark på uppsidan i år, de är världens största bolag inom ""telemedicine"" (Kry t.ex). ~30% av NAV i $VNV är Babylon. https://t.co/4kDtSHCRXC"
2020-01-14 00:00:00,"$GGSM hammer down, accumulation inflection up, RSI dipped, money flow rising again. Get ready to break to new highs folks. Gonna be a great afternoon

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn https://t.co/9n7UumkVW5"
2020-01-15 00:00:00,"The Nifty Fifty could do no wrong. Compounders all the way. Your job was safe with them. Don't sell them - ever.

And then... they were never heard of again.

Don't forget to sell

#TrendFollowing $AAPL $AMZN $GOOG $MSFT $NDX https://t.co/9S0DgPJgz1"
2020-01-16 00:00:00,"$GGSM absorbing a few more for lock up here at 0040. Gonna get another squeeze here, look for a new highs into eod! Going mobile, will be watching!

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $fles $kblb $nio $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-16 00:00:00,*ALPHABET'S MARKET VALUATION HITS $1 TRILLION FOR THE FIRST TIME $GOOG $GOOGL
2020-01-16 00:00:00,"Cierre en máximo intradía para Dow Jones, S&amp;P 500 y Nasdaq.

Nuevos máximos históricos para todos. https://t.co/myojLmiPQy"
2020-01-16 00:00:00,One trillion dollars. $goog
2020-01-16 00:00:00,"Además, Alphabet supera por primera vez el billón de capitalización bursátil.

$GOOG $GOOGL"
2020-01-16 00:00:00,"Tras el día de hoy, ya son 4 las compañías estadounidenses que han superado el billón (trillón americano) de capitalización bursátil en algún momento.

Market cap:
$AAPL $1.36T  (&gt;$1T en 2018)
$MSFT $1.24T (&gt;$1T en 2019)
$GOOG $1T    (&gt;$1T en 2020)
$AMZN $930B (&gt;$1T en 2018)"
2020-01-16 00:00:00,"$GGSM churning just under new high and blue skies. Rebasing and showing massive strength. Will set us up for a strong move 0050+. Watching for a surge this afternoon;)

$amrn $dbmm $alpp $nwbo $coop $vyst $fnma $snpw $avxl $funn $rbnw $ipix $acb $baba $avx $aapl $msft $goog $amzn"
2020-01-16 00:00:00,"Bienvenido Alphabet (Google) al Club de los Trillones.

$GOOG $GOOGL https://t.co/giTDmemQ0k"
2020-01-17 00:00:00,Amazing google. I remember when you were just a baby. A $75 stock listing. And now. One trillion dollars and still printing money. $goog
2020-01-17 00:00:00,"Stocktwits Trending Tickers BMO 1/17/20

$GOOG Reaches $1 trillion in market cap.
$TWTR -1.1% pre-market, Jack asks Elon how to do his job.
$PINS +4.5% pre-market, filling last quarter’s er gap.
$SNAP +3.0% pre-market, making 52 week highs.
$JMIA Jumia up 34% since Monday."
2020-01-17 00:00:00,"At the token's current price and expected annual reward, $SNX has a potential Price/Earnings ratio (1.01/0.1057) of 9.55.

The market values SNX's intrinsic value to break-even on the cost of a #token in 9.55 years, if the #exchange maintains volume."
2020-01-17 00:00:00,"$AAPL PT raised to $280 from $225 at Nomura
$AMZN PT RAISED TO $2,305 FROM $2,100 AT UBS
$CMG PT Raised to $975 at Cowen
$FB PT RAISED TO $250 FROM $235 AT UBS
$GOOG PT RAISED TO $1,675 FROM $1,460 AT UBS
$NFLX PT RAISED TO $405 FROM $370 AT UBS"
2020-01-17 00:00:00,"An avalanche of new highs on this week's #SectorSelector!

🥇 Technology $XLK
🥈 Communications $XLC
🥉 Health Care $XLV

Full version for premium Market Scholars here: https://t.co/O9z0AIT3ZR

$AAPL $MSFT $GOOG $FB $BABA $BRKB $V $JNJ $MA $PG $TSM $UNH $KO $CMCSA $PEP $NKE $ADBE https://t.co/8jMIpbuFe5"
